"EVTYPE","STATE","total_f","total_i"
"FLOOD","WV",13,1
"HEAVY RAIN","PR",13,10
"HEAVY SNOW","CA",13,57
"LIGHTNING","MD",13,73
"LIGHTNING","OK",13,87
"TSTM WIND","AR",13,188
"TSTM WIND","SC",13,185
"WINTER STORM","IL",13,31
"WINTER STORM","NC",13,191
"EXTREME COLD/WIND CHILL","PA",12,1
"FLASH FLOOD","CO",12,63
"FLASH FLOOD","LA",12,2
"FLASH FLOOD","MD",12,24
"FLOOD","AR",12,6
"FOG","WI",12,0
"HEAT","MD",12,84
"HEAT","SC",12,0
"HIGH SURF","OR",12,0
"HIGH WIND","FL",12,31
"HIGH WIND","OH",12,57
"LIGHTNING","KY",12,37
"LIGHTNING","NM",12,52
"LIGHTNING","WI",12,120
"RIP CURRENT","CA",12,15
"TROPICAL STORM","FL",12,75
"TSTM WIND","KS",12,268
"TSTM WIND","KY",12,249
"TSTM WIND","WI",12,166
"BLIZZARD","PA",11,0
"COLD","SC",11,0
"EXTREME COLD","PA",11,129
"FLASH FLOOD","UT",11,27
"HEAVY SNOW","UT",11,259
"STORM SURGE","FL",11,2
"STORM SURGE/TIDE","TX",11,0
"STRONG WIND","SC",11,4
"THUNDERSTORM WINDS","GA",11,58
"TSTM WIND","TN",11,190
"WINTER STORM","NE",11,22
"BLIZZARD","CO",10,4
"EXCESSIVE HEAT","KS",10,14
"FLASH FLOOD","HI",10,4
"FLASH FLOOD","MS",10,9
"HEAVY RAIN","WV",10,1
"HEAVY SURF/HIGH SURF","CA",10,13
"HIGH WIND","PA",10,19
"LIGHTNING","CA",10,56
"LIGHTNING","MN",10,70
"RIP CURRENTS","NY",10,5
"TSTM WIND","AZ",10,152
"TSTM WIND","MO",10,253
"TSTM WIND","NJ",10,168
"TSTM WIND","WV",10,142
"UNSEASONABLY WARM","NJ",10,0
"URBAN/SML STREAM FLD","CA",10,29
"WINTER STORMS","CA",10,17
"WINTER WEATHER","TX",10,160
"AVALANCHE","CA",9,10
"BLIZZARD","ND",9,97
"DENSE FOG","CA",9,162
"FLASH FLOOD","IL",9,14
"HEAT","AL",9,50
"HEAT","FL",9,1
"HEAT WAVE","NJ",9,0
"HEAVY SNOW","CO",9,15
"HEAVY SNOW","KS",9,18
"HEAVY SURF/HIGH SURF","GU",9,5
"HIGH WIND","IL",9,32
"LIGHTNING","IA",9,40
"LIGHTNING","KS",9,40
"LIGHTNING","MT",9,30
"RIP CURRENT","IN",9,4
"RIP CURRENTS","NC",9,5
"RIP CURRENTS","PR",9,0
"THUNDERSTORM WIND","AR",9,46
"THUNDERSTORM WIND","GA",9,62
"THUNDERSTORM WIND","IL",9,148
"THUNDERSTORM WINDS","OH",9,59
"TSTM WIND","IA",9,220
"TSTM WIND","OK",9,191
"WILDFIRE","UT",9,6
"AVALANCHE","MT",8,4
"EXTREME COLD","TX",8,0
"EXTREME COLD","WI",8,31
"EXTREME COLD/WIND CHILL","NY",8,0
"FLOOD","KS",8,2
"HEAT","CA",8,5
"HEAT","NC",8,1
"HEAVY SNOW","WA",8,61
"HIGH WIND","NC",8,30
"HIGH WIND","NM",8,23
"HIGH WIND","WI",8,23
"ICE STORM","SD",8,67
"LIGHTNING","WY",8,72
"RIP CURRENTS","AL",8,4
"TROPICAL STORM GORDON","FL",8,43
"TSTM WIND","CO",8,55
"TSTM WIND","FL",8,194
"TSTM WIND","ID",8,66
"TSTM WIND","MA",8,97
"TSTM WIND","VA",8,131
"WINTER STORM","OR",8,14
"BLIZZARD","AK",7,5
"BLIZZARD","NY",7,4
"COLD/WIND CHILL","IN",7,0
"EXCESSIVE HEAT","DE",7,51
"EXCESSIVE HEAT","NC",7,16
"EXTREME COLD","AL",7,0
"EXTREME COLD/WIND CHILL","NJ",7,7
"FLASH FLOOD","WI",7,16
"FLASH FLOODING","TX",7,0
"HEAT","GA",7,0
"HEAT WAVE","NY",7,0
"HEAVY SNOW","ID",7,7
"HEAVY SNOW","IL",7,30
"HIGH SURF","GU",7,3
"HIGH SURF","PR",7,9
"HIGH WINDS","FL",7,4
"LIGHTNING","ID",7,26
"LOW TEMPERATURE","SC",7,0
"MARINE MISHAP","AK",7,5
"STRONG WIND","NC",7,2
"STRONG WIND","WA",7,6
"THUNDERSTORM WINDS","NY",7,21
"TORNADO","MD",7,314
"TSTM WIND","MD",7,79
"WIND","NJ",7,15
"WINTER STORM","PA",7,84
"WINTER STORM","TX",7,5
"BLIZZARD","MN",6,14
"BLIZZARD","SD",6,32
"COLD/WIND CHILL","WI",6,0
"EXCESSIVE HEAT","GA",6,3
"EXCESSIVE HEAT","VA",6,230
"EXTREME COLD/WIND CHILL","MN",6,0
"EXTREME HEAT","PA",6,37
"FLASH FLOOD","DE",6,5
"FLASH FLOOD","IA",6,15
"FLOOD","FL",6,1
"FLOOD","PR",6,2
"GLAZE","TX",6,4
"HEAVY SNOW","NY",6,14
"HEAVY SNOW","WV",6,8
"HIGH SURF","FL",6,9
"HIGH WIND","CT",6,11
"HIGH WIND","IN",6,14
"HIGH WIND","TX",6,29
"HIGH WIND","VA",6,84
"HURRICANE ERIN","FL",6,1
"ICE STORM","LA",6,17
"LIGHTNING","MA",6,171
"LIGHTNING","ME",6,70
"LIGHTNING","NE",6,22
"LIGHTNING","PR",6,4
"LIGHTNING","WV",6,48
"MARINE THUNDERSTORM WIND","AM",6,22
"MARINE TSTM WIND","AN",6,0
"ROUGH SEAS","NY",6,0
"STRONG WIND","TX",6,18
"THUNDERSTORM WIND","CA",6,0
"THUNDERSTORM WIND","MS",6,21
"THUNDERSTORM WIND","OH",6,30
"THUNDERSTORM WIND","PA",6,35
"TORNADO","WA",6,303
"TSTM WIND","MN",6,92
"TSTM WIND","NH",6,30
"WINTER STORM","AL",6,2
"WINTER STORM","MD",6,13
"WINTER STORM","WY",6,119
"WINTER WEATHER/MIX","PA",6,12
"EXTREME COLD","OK",5,0
"EXTREME COLD","SC",5,0
"FLASH FLOOD","MI",5,7
"FLASH FLOOD","NJ",5,190
"FLASH FLOOD","SC",5,16
"FLASH FLOOD","WY",5,6
"FLASH FLOODING/FLOOD","TX",5,0
"FLOOD","CT",5,3
"FLOOD","MN",5,3
"FLOOD","MS",5,0
"FLOOD","MT",5,0
"FLOOD","ND",5,5
"FLOOD","WA",5,0
"FLOOD/FLASH FLOOD","NC",5,0
"FLOOD/FLASH FLOOD","WV",5,0
"FOG","OH",5,33
"HEAT","KS",5,3
"HEAT WAVES","PA",5,0
"HEAVY RAIN","AL",5,9
"HEAVY SNOW","KY",5,5
"HEAVY SNOW","PA",5,303
"HEAVY SURF/HIGH SURF","FL",5,2
"HIGH WIND","AL",5,8
"HIGH WIND","KS",5,15
"HIGH WIND","KY",5,37
"HIGH WIND","LA",5,5
"HURRICANE","FL",5,9
"HURRICANE/TYPHOON","TX",5,5
"ICE STORM","AK",5,34
"ICE STORM","AZ",5,0
"LIGHTNING","SD",5,19
"MARINE STRONG WIND","PZ",5,3
"RIP CURRENTS","NJ",5,16
"RIP CURRENTS/HEAVY SURF","NJ",5,0
"STRONG WIND","AZ",5,4
"STRONG WIND","GA",5,25
"STRONG WIND","NJ",5,14
"STRONG WIND","PA",5,12
"THUNDERSTORM WIND","AL",5,67
"THUNDERSTORM WIND","MI",5,26
"THUNDERSTORM WIND","NJ",5,28
"THUNDERSTORM WINDS","LA",5,17
"TORNADO","CO",5,261
"TORNADO","NM",5,155
"TROPICAL STORM","PR",5,2
"TROPICAL STORM","VA",5,29
"TSTM WIND","SD",5,77
"WILDFIRE","OK",5,26
"WIND","NY",5,29
"WINTER STORM","DE",5,40
"WINTER STORM","IA",5,16
"WINTER STORM","ND",5,19
