"EVTYPE","STATE","total_f","total_i"
"EXTREME COLD","DC",1,0
"EXTREME COLD","GA",1,0
"EXTREME COLD","LA",1,0
"EXTREME COLD","MD",1,0
"EXTREME COLD","MN",1,0
"EXTREME COLD","ND",1,0
"EXTREME COLD","SD",1,0
"EXTREME COLD","WY",1,0
"EXTREME COLD/WIND CHILL","DE",1,1
"EXTREME COLD/WIND CHILL","FL",1,0
"EXTREME COLD/WIND CHILL","IA",1,0
"EXTREME COLD/WIND CHILL","MA",1,0
"EXTREME COLD/WIND CHILL","MD",1,0
"EXTREME COLD/WIND CHILL","NE",1,0
"EXTREME COLD/WIND CHILL","NM",1,0
"EXTREME COLD/WIND CHILL","OR",1,0
"EXTREME COLD/WIND CHILL","SC",1,1
"EXTREME COLD/WIND CHILL","TX",1,0
"EXTREME COLD/WIND CHILL","WV",1,0
"EXTREME HEAT","WV",1,0
"EXTREME WINDCHILL","AK",1,0
"EXTREME WINDCHILL","NE",1,2
"FALLING SNOW/ICE","ME",1,0
"FLASH FLOOD","CT",1,0
"FLASH FLOOD","GU",1,0
"FLASH FLOOD","MT",1,0
"FLASH FLOODING","IN",1,0
"FLASH FLOODING","MS",1,0
"FLASH FLOODING","OK",1,0
"FLOOD","AZ",1,8
"FLOOD","IA",1,121
"FLOOD","LA",1,4
"FLOOD","MD",1,4
"FLOOD","UT",1,6
"FLOOD","WY",1,0
"FLOOD & HEAVY RAIN","WA",1,0
"FLOOD/FLASH FLOOD","CA",1,0
"FLOOD/FLASH FLOOD","NJ",1,1
"FLOOD/RIVER FLOOD","MO",1,0
"FLOODING","OK",1,0
"FLOODING","TX",1,0
"FOG","CO",1,5
"FOG","IN",1,0
"FOG","MD",1,38
"FOG","MI",1,1
"FOG","NC",1,16
"FOG","OR",1,17
"FOG","SC",1,13
"FOG","WA",1,4
"FOG AND COLD TEMPERATURES","NM",1,1
"FREEZE","LA",1,0
"FREEZING RAIN","IA",1,0
"FREEZING RAIN/SNOW","ID",1,0
"Freezing Spray","ND",1,0
"FROST","ND",1,3
"GLAZE","KS",1,4
"GUSTY WIND","NC",1,0
"GUSTY WINDS","AR",1,0
"GUSTY WINDS","ME",1,1
"HAIL","AZ",1,8
"HAIL","CA",1,10
"HAIL","SC",1,17
"HEAT","MI",1,315
"HEAT","NM",1,0
"HEAT WAVE","DE",1,0
"HEAVY RAIN","AZ",1,3
"HEAVY RAIN","GA",1,9
"HEAVY RAIN","ID",1,0
"HEAVY RAIN","ND",1,0
"HEAVY RAIN","NM",1,7
"HEAVY RAIN","OH",1,0
"HEAVY RAIN","SC",1,1
"HEAVY RAIN","TN",1,0
"HEAVY RAIN","WA",1,37
"HEAVY SEAS","CA",1,0
"HEAVY SNOW","IN",1,3
"HEAVY SNOW","MI",1,1
"HEAVY SNOW","MT",1,4
"HEAVY SNOW","ND",1,0
"HEAVY SNOW","NH",1,1
"HEAVY SNOW","NJ",1,12
"HEAVY SNOW","OH",1,25
"HEAVY SNOW","OK",1,0
"HEAVY SNOW","SD",1,31
"HEAVY SNOW","VT",1,0
"HEAVY SNOW","WI",1,21
"HEAVY SNOW","WY",1,3
"Heavy Surf","CA",1,0
"HEAVY SURF","NJ",1,0
"HEAVY SURF","NY",1,0
"HEAVY SURF","VA",1,0
"HEAVY SURF/HIGH SURF","MA",1,2
"HEAVY SURF/HIGH SURF","NC",1,0
"HEAVY SURF/HIGH SURF","NJ",1,5
"HEAVY SURF/HIGH SURF","RI",1,0
"HEAVY SURF/HIGH SURF","VA",1,1
"HIGH SEAS","AK",1,1
"HIGH SEAS","CA",1,2
"HIGH SEAS","VI",1,0
"HIGH SURF","ME",1,13
"HIGH SURF","MI",1,0
"HIGH SURF","NC",1,0
"HIGH SURF","NJ",1,0
"HIGH SURF","NY",1,0
"HIGH SURF","SC",1,0
"HIGH SWELLS","PR",1,0
"HIGH WATER","OH",1,0
"HIGH WAVES","RI",1,0
"HIGH WIND","AR",1,3
"HIGH WIND","HI",1,7
"HIGH WIND","ND",1,23
"HIGH WIND","TN",1,0
"HIGH WIND","UT",1,43
"HIGH WIND","VT",1,3
"HIGH WIND","WV",1,5
"HIGH WINDS","NE",1,2
"HIGH WINDS","NJ",1,1
"HIGH WINDS","OH",1,16
"HIGH WINDS","PA",1,3
"HIGH WINDS","VA",1,5
"HIGH WINDS","VT",1,1
"HURRICANE","LA",1,3
"HURRICANE","SC",1,0
"HURRICANE","TX",1,12
"HURRICANE","VA",1,4
"HURRICANE FELIX","NC",1,0
"HURRICANE OPAL","FL",1,0
"HURRICANE/TYPHOON","GU",1,333
"HURRICANE/TYPHOON","LA",1,0
"HYPERTHERMIA/EXPOSURE","NM",1,0
"HYPOTHERMIA","SC",1,0
"ICE ON ROAD","NV",1,0
"ICE STORM","AL",1,0
"ICE STORM","IA",1,2
"ICE STORM","KY",1,0
"ICE STORM","ME",1,0
"ICE STORM","MI",1,4
"ICE STORM","NC",1,0
"ICE STORM","SC",1,24
"ICE STORM","TN",1,0
"ICE STORM","WV",1,0
"ICY ROADS","NY",1,7
"LANDSLIDE","VA",1,0
"LANDSLIDE","WA",1,2
"LANDSLIDES","PR",1,1
"LIGHT SNOW","VT",1,2
"LIGHTNING","AS",1,1
"LIGHTNING","DE",1,5
"LIGHTNING","ND",1,8
"LIGHTNING","NH",1,85
"LIGHTNING","OR",1,15
"LIGHTNING","RI",1,17
"LIGHTNING","VI",1,1
"LIGHTNING.","LA",1,0
"Marine Accident","CA",1,2
"MARINE HIGH WIND","AN",1,1
"MARINE STRONG WIND","AM",1,0
"MARINE STRONG WIND","LS",1,0
"MARINE STRONG WIND","PH",1,0
"MARINE THUNDERSTORM WIND","AN",1,3
"MARINE THUNDERSTORM WIND","GM",1,0
"MINOR FLOODING","VA",1,0
"Mudslides","OR",1,0
"RAIN/WIND","PA",1,0
"RAPIDLY RISING WATER","SC",1,0
"RECORD COLD","SC",1,0
"RIP CURRENT","DE",1,0
"RIP CURRENT","GA",1,6
"RIP CURRENT","IL",1,0
"RIP CURRENT","LA",1,0
"RIP CURRENT","MA",1,0
"RIP CURRENT","MD",1,1
"RIP CURRENT","PR",1,0
"RIP CURRENT","WA",1,0
"RIP CURRENTS","LA",1,2
"RIP CURRENTS","SC",1,0
"RIVER FLOOD","MO",1,0
"RIVER FLOOD","VA",1,0
"RIVER FLOODING","TX",1,0
"RIVER FLOODING","VA",1,0
"SNOW","CA",1,0
"SNOW","CT",1,0
"SNOW","NY",1,3
"SNOW AND ICE","KS",1,0
"Snow Squalls","VT",1,0
"SNOW/ BITTER COLD","SD",1,0
"STRONG WIND","AL",1,12
"STRONG WIND","DE",1,1
"STRONG WIND","MD",1,4
"STRONG WIND","MO",1,0
"STRONG WIND","OR",1,0
"STRONG WIND","VT",1,0
"Strong Winds","MA",1,0
"STRONG WINDS","DC",1,0
"STRONG WINDS","MA",1,5
"THUNDERSNOW","ID",1,1
"THUNDERSTORM","CA",1,0
"THUNDERSTORM WIND","CT",1,31
"THUNDERSTORM WIND","MA",1,23
"THUNDERSTORM WIND","NM",1,4
"THUNDERSTORM WIND","OK",1,92
"THUNDERSTORM WIND","SC",1,38
"THUNDERSTORM WIND","WI",1,47
"THUNDERSTORM WIND (G40)","NH",1,0
"THUNDERSTORM WIND G52","PA",1,0
"THUNDERSTORM WINDS","AZ",1,15
"THUNDERSTORM WINDS","CA",1,0
"THUNDERSTORM WINDS","DC",1,11
"THUNDERSTORM WINDS","DE",1,0
"THUNDERSTORM WINDS","IN",1,3
"THUNDERSTORM WINDS","KY",1,123
"THUNDERSTORM WINDS","MA",1,4
"THUNDERSTORM WINDS","MO",1,10
"THUNDERSTORM WINDS","MS",1,9
"THUNDERSTORM WINDS","NC",1,19
"THUNDERSTORM WINDS","NE",1,5
"THUNDERSTORM WINDS","NH",1,2
"THUNDERSTORM WINDS","NJ",1,42
"THUNDERSTORM WINDS","OK",1,28
"THUNDERSTORM WINDS","SD",1,17
"THUNDERTORM WINDS","MI",1,0
"TORNADO","ME",1,19
"TORNADO","NH",1,30
"TORNADO","NJ",1,70
"TORNADO","UT",1,91
"TROPICAL STORM","LA",1,12
"TROPICAL STORM","MD",1,200
"TROPICAL STORM","MS",1,0
"TROPICAL STORM","NH",1,1
"TROPICAL STORM","NJ",1,2
"TROPICAL STORM","NY",1,1
"TSTM WIND","NE",1,85
"TSTM WIND","OR",1,10
"TSTM WIND (G35)","FL",1,0
"TSTM WIND/HAIL","UT",1,3
"TSUNAMI","CA",1,0
"UNSEASONABLY WARM","DE",1,0
"URBAN AND SMALL STREAM FLOODIN","LA",1,0
"URBAN/SML STREAM FLD","FL",1,1
"URBAN/SML STREAM FLD","KY",1,0
"URBAN/SML STREAM FLD","MO",1,1
"URBAN/SML STREAM FLD","MT",1,0
"URBAN/SML STREAM FLD","SC",1,0
"URBAN/SML STREAM FLD","TN",1,0
"URBAN/SML STREAM FLD","VA",1,1
"URBAN/SML STREAM FLD","WA",1,0
"WATERSPOUT","FL",1,27
"Whirlwind","NV",1,0
"WILD/FOREST FIRE","SD",1,1
"WILD/FOREST FIRE","UT",1,0
"WILD/FOREST FIRE","WV",1,0
"WILD/FOREST FIRE","WY",1,1
"WILDFIRE","FL",1,3
"WILDFIRE","WI",1,3
"WIND","CA",1,18
"WIND STORM","KY",1,0
"WINDS","CT",1,0
"WINTER STORM","AR",1,2
"WINTER STORM","CT",1,0
"WINTER STORM","DC",1,0
"WINTER STORM","ME",1,0
"WINTER STORM","MI",1,2
"WINTER STORM","NY",1,0
"WINTER STORM HIGH WINDS","CA",1,15
"WINTER WEATHER","AK",1,1
"WINTER WEATHER","AR",1,1
"WINTER WEATHER","ID",1,3
"WINTER WEATHER","KS",1,3
"WINTER WEATHER","MD",1,5
"WINTER WEATHER","MN",1,6
"WINTER WEATHER","NC",1,0
"WINTER WEATHER","NY",1,0
"WINTER WEATHER","OR",1,1
"WINTER WEATHER","SD",1,0
"WINTER WEATHER","WA",1,5
"WINTER WEATHER/MIX","CO",1,0
"WINTER WEATHER/MIX","IN",1,4
"WINTER WEATHER/MIX","MT",1,9
"WINTER WEATHER/MIX","NC",1,3
"WINTER WEATHER/MIX","SC",1,0
"WINTER WEATHER/MIX","TN",1,0
"WINTRY MIX","PA",1,72
"   HIGH SURF ADVISORY","AS",0,0
" COASTAL FLOOD","NJ",0,0
" FLASH FLOOD","TX",0,0
" LIGHTNING","AZ",0,0
" TSTM WIND","GA",0,0
" TSTM WIND","IL",0,0
" TSTM WIND (G45)","FL",0,0
" WATERSPOUT","FL",0,0
" WIND","WA",0,0
"?","WV",0,0
"ABNORMAL WARMTH","IL",0,0
"ABNORMAL WARMTH","IN",0,0
"ABNORMAL WARMTH","KY",0,0
"ABNORMAL WARMTH","MO",0,0
"ABNORMALLY DRY","CA",0,0
"ABNORMALLY DRY","GA",0,0
"ABNORMALLY WET","GA",0,0
"ACCUMULATED SNOWFALL","ME",0,0
"ACCUMULATED SNOWFALL","NH",0,0
"AGRICULTURAL FREEZE","MD",0,0
"AGRICULTURAL FREEZE","VA",0,0
"AGRICULTURAL FREEZE","WV",0,0
"APACHE COUNTY","AZ",0,0
"ASTRONOMICAL HIGH TIDE","CA",0,0
"ASTRONOMICAL HIGH TIDE","DE",0,0
"ASTRONOMICAL HIGH TIDE","FL",0,0
"ASTRONOMICAL HIGH TIDE","NC",0,0
"ASTRONOMICAL HIGH TIDE","NJ",0,0
"ASTRONOMICAL HIGH TIDE","NY",0,0
"ASTRONOMICAL HIGH TIDE","OR",0,0
"ASTRONOMICAL HIGH TIDE","PA",0,0
"ASTRONOMICAL HIGH TIDE","VA",0,0
"ASTRONOMICAL HIGH TIDE","WA",0,0
"ASTRONOMICAL LOW TIDE","AK",0,0
"ASTRONOMICAL LOW TIDE","CA",0,0
"ASTRONOMICAL LOW TIDE","DE",0,0
"ASTRONOMICAL LOW TIDE","FL",0,0
"ASTRONOMICAL LOW TIDE","GA",0,0
"ASTRONOMICAL LOW TIDE","ID",0,0
"ASTRONOMICAL LOW TIDE","KS",0,0
"ASTRONOMICAL LOW TIDE","LA",0,0
"ASTRONOMICAL LOW TIDE","MD",0,0
"ASTRONOMICAL LOW TIDE","ME",0,0
"ASTRONOMICAL LOW TIDE","NJ",0,0
"ASTRONOMICAL LOW TIDE","OR",0,0
"ASTRONOMICAL LOW TIDE","PA",0,0
"ASTRONOMICAL LOW TIDE","SC",0,0
"ASTRONOMICAL LOW TIDE","TX",0,0
"AVALANCHE","AZ",0,0
"BEACH EROSIN","SC",0,0
"Beach Erosion","FL",0,0
"BEACH EROSION","CA",0,0
"BEACH EROSION","ME",0,0
"BEACH EROSION","NY",0,0
"BEACH EROSION/COASTAL FLOOD","SC",0,0
"BEACH FLOOD","TX",0,0
"BELOW NORMAL PRECIPITATION","NJ",0,0
"BELOW NORMAL PRECIPITATION","PA",0,0
"BITTER WIND CHILL","ME",0,0
"BITTER WIND CHILL TEMPERATURES","ME",0,0
"BITTER WIND CHILL TEMPERATURES","NH",0,0
"Black Ice","NC",0,0
"Black Ice","VA",0,0
"BLACK ICE","DE",0,0
"BLACK ICE","GA",0,0
"BLACK ICE","MD",0,0
"BLACK ICE","NC",0,0
"BLACK ICE","NJ",0,0
"BLACK ICE","PA",0,0
"BLACK ICE","VA",0,0
"BLIZZARD","AZ",0,0
"BLIZZARD","CA",0,0
"BLIZZARD","CT",0,0
"BLIZZARD","DC",0,2
"BLIZZARD","DE",0,0
"BLIZZARD","HI",0,0
"BLIZZARD","IL",0,0
"BLIZZARD","IN",0,0
"BLIZZARD","MA",0,0
"BLIZZARD","ME",0,0
"BLIZZARD","MI",0,0
"BLIZZARD","MO",0,0
"BLIZZARD","NC",0,0
"BLIZZARD","NH",0,0
"BLIZZARD","NM",0,0
"BLIZZARD","NV",0,0
"BLIZZARD","OR",0,0
"BLIZZARD","RI",0,0
"BLIZZARD","TX",0,0
"BLIZZARD","VT",0,0
"BLIZZARD AND EXTREME WIND CHIL","MN",0,0
"BLIZZARD AND EXTREME WIND CHIL","SD",0,0
"BLIZZARD AND HEAVY SNOW","MN",0,0
"Blizzard Summary","ND",0,0
"BLIZZARD WEATHER","AK",0,0
"BLIZZARD/FREEZING RAIN","MI",0,0
"BLIZZARD/HEAVY SNOW","CO",0,0
"BLIZZARD/HEAVY SNOW","NV",0,0
"BLIZZARD/HIGH WIND","AK",0,0
"BLIZZARD/WINTER STORM","MT",0,0
"BLOW-OUT TIDE","NJ",0,0
"BLOW-OUT TIDES","DE",0,0
"BLOWING DUST","CA",0,0
"BLOWING DUST","OK",0,0
"BLOWING DUST","TX",0,0
"blowing snow","KS",0,0
"Blowing Snow","NE",0,0
"Blowing Snow","WA",0,0
"Blowing Snow","WY",0,0
"BLOWING SNOW","CO",0,0
"BLOWING SNOW","ID",0,0
"BLOWING SNOW","MN",0,0
"BLOWING SNOW","PA",0,0
"BLOWING SNOW","WI",0,0
"BLOWING SNOW & EXTREME WIND CH","MN",0,0
"BLOWING SNOW & EXTREME WIND CH","NE",0,0
"BLOWING SNOW- EXTREME WIND CHI","IA",0,0
"BLOWING SNOW/EXTREME WIND CHIL","SD",0,0
"BREAKUP FLOODING","AK",0,0
"BRUSH FIRE","NY",0,2
"BRUSH FIRE","PR",0,0
"BRUSH FIRES","WV",0,0
"COASTAL  FLOODING/EROSION","NJ",0,0
"COASTAL EROSION","ME",0,0
"Coastal Flood","TX",0,0
"COASTAL FLOOD","AL",0,0
"COASTAL FLOOD","CA",0,1
"COASTAL FLOOD","CT",0,0
"COASTAL FLOOD","DC",0,0
"COASTAL FLOOD","DE",0,0
"COASTAL FLOOD","FL",0,0
"COASTAL FLOOD","GA",0,0
"COASTAL FLOOD","IN",0,0
"COASTAL FLOOD","LA",0,0
"COASTAL FLOOD","MA",0,0
"COASTAL FLOOD","MD",0,0
"COASTAL FLOOD","ME",0,0
"COASTAL FLOOD","MS",0,0
"COASTAL FLOOD","NC",0,0
"COASTAL FLOOD","NH",0,0
"COASTAL FLOOD","NJ",0,1
"COASTAL FLOOD","NY",0,0
"COASTAL FLOOD","OR",0,0
"COASTAL FLOOD","PA",0,0
"COASTAL FLOOD","PR",0,0
"COASTAL FLOOD","RI",0,0
"COASTAL FLOOD","SC",0,0
"COASTAL FLOOD","TX",0,0
"COASTAL FLOOD","VA",0,0
"COASTAL FLOOD","VI",0,0
"COASTAL FLOOD","WA",0,0
"coastal flooding","TX",0,0
"Coastal Flooding","CT",0,0
"Coastal Flooding","DE",0,0
"Coastal Flooding","LA",0,0
"Coastal Flooding","ME",0,0
"Coastal Flooding","NJ",0,0
"Coastal Flooding","NY",0,0
"Coastal Flooding","TX",0,0
"COASTAL FLOODING","AL",0,0
"COASTAL FLOODING","CA",0,0
"COASTAL FLOODING","CT",0,0
"COASTAL FLOODING","DE",0,0
"COASTAL FLOODING","FL",0,0
"COASTAL FLOODING","LA",0,0
"COASTAL FLOODING","MA",0,0
"COASTAL FLOODING","MD",0,0
"COASTAL FLOODING","ME",0,0
"COASTAL FLOODING","NC",0,0
"COASTAL FLOODING","NH",0,0
"COASTAL FLOODING","NJ",0,0
"COASTAL FLOODING","NY",0,0
"COASTAL FLOODING","SC",0,0
"COASTAL FLOODING","VA",0,0
"COASTAL FLOODING/EROSION","DE",0,5
"COASTAL FLOODING/EROSION","NJ",0,0
"Coastal Storm","ME",0,1
"Coastal Storm","NH",0,0
"COASTAL STORM","NJ",0,0
"COASTAL SURGE","ME",0,0
"COASTAL SURGE","NC",0,0
"COASTAL/TIDAL FLOOD","NJ",0,0
"COASTALFLOOD","CT",0,0
"Cold","KY",0,0
"Cold","OH",0,0
"Cold","VA",0,0
"Cold","WV",0,0
"COLD","CT",0,0
"COLD","FL",0,0
"COLD","GA",0,0
"COLD","KY",0,0
"COLD","MI",0,0
"COLD","OH",0,0
"COLD","RI",0,0
"COLD","WV",0,0
"COLD","WY",0,0
"COLD AIR FUNNEL","IA",0,0
"COLD AIR FUNNELS","IA",0,0
"COLD AIR FUNNELS","MI",0,0
"COLD AIR TORNADO","IA",0,0
"Cold and Frost","KY",0,0
"Cold and Frost","OH",0,0
"Cold and Frost","VA",0,0
"Cold and Frost","WV",0,0
"COLD AND FROST","WV",0,0
"COLD AND WET CONDITIONS","IA",0,0
"COLD TEMPERATURES","ME",0,0
"COLD TEMPERATURES","NH",0,0
"COLD WAVE","IL",0,0
"COLD WAVE","MO",0,0
"COLD WIND CHILL TEMPERATURES","ME",0,0
"COLD WIND CHILL TEMPERATURES","NH",0,0
"COLD/WIND CHILL","AL",0,0
"COLD/WIND CHILL","CA",0,0
"COLD/WIND CHILL","CO",0,0
"COLD/WIND CHILL","CT",0,0
"COLD/WIND CHILL","DE",0,0
"COLD/WIND CHILL","GA",0,0
"COLD/WIND CHILL","IA",0,0
"COLD/WIND CHILL","ID",0,0
"COLD/WIND CHILL","MA",0,0
"COLD/WIND CHILL","MD",0,0
"COLD/WIND CHILL","ME",0,0
"COLD/WIND CHILL","MI",0,10
"COLD/WIND CHILL","MO",0,0
"COLD/WIND CHILL","MT",0,0
"COLD/WIND CHILL","NE",0,0
"COLD/WIND CHILL","NJ",0,0
"COLD/WIND CHILL","NY",0,0
"COLD/WIND CHILL","VA",0,0
"COLD/WIND CHILL","VT",0,0
"COLD/WIND CHILL","WV",0,0
"COLD/WIND CHILL","WY",0,0
"COOL AND WET","ID",0,0
"COOL SPELL","CA",0,0
"CSTL FLOODING/EROSION","DE",0,0
"CSTL FLOODING/EROSION","NJ",0,0
"DAM BREAK","CA",0,0
"DAM BREAK","ME",0,0
"DAM BREAK","NC",0,0
"DAM FAILURE","ND",0,0
"Damaging Freeze","FL",0,0
"DAMAGING FREEZE","FL",0,0
"DAMAGING FREEZE","ID",0,0
"DAMAGING FREEZE","KS",0,0
"DAMAGING FREEZE","NE",0,0
"DEEP HAIL","MO",0,0
"DENSE FOG","AR",0,0
"DENSE FOG","AZ",0,10
"DENSE FOG","CO",0,0
"DENSE FOG","DC",0,0
"DENSE FOG","DE",0,0
"DENSE FOG","GA",0,0
"DENSE FOG","IA",0,0
"DENSE FOG","ID",0,3
"DENSE FOG","IL",0,0
"DENSE FOG","IN",0,0
"DENSE FOG","KY",0,0
"DENSE FOG","MD",0,0
"DENSE FOG","MI",0,0
"DENSE FOG","MN",0,0
"DENSE FOG","MO",0,0
"DENSE FOG","MS",0,0
"DENSE FOG","MT",0,0
"DENSE FOG","NC",0,0
"DENSE FOG","NE",0,0
"DENSE FOG","NJ",0,17
"DENSE FOG","NM",0,0
"DENSE FOG","NV",0,0
"DENSE FOG","OH",0,0
"DENSE FOG","OK",0,0
"DENSE FOG","OR",0,0
"DENSE FOG","PA",0,0
"DENSE FOG","RI",0,0
"DENSE FOG","SC",0,0
"DENSE FOG","SD",0,0
"DENSE FOG","TX",0,0
"DENSE FOG","VA",0,0
"DENSE FOG","WA",0,0
"DENSE FOG","WI",0,2
"DENSE FOG","WV",0,0
"DENSE FOG","WY",0,0
"DENSE SMOKE","AK",0,0
"DENSE SMOKE","AZ",0,0
"DENSE SMOKE","CA",0,0
"DENSE SMOKE","CO",0,0
"DENSE SMOKE","MT",0,0
"DENSE SMOKE","NC",0,0
"DENSE SMOKE","OR",0,0
"DENSE SMOKE","SC",0,0
"DENSE SMOKE","TX",0,0
"DOWNBURST","CA",0,0
"DOWNBURST","OH",0,0
"DOWNBURST WINDS","CA",0,0
"DOWNBURST WINDS","NH",0,0
"DRIEST MONTH","MA",0,0
"Drifting Snow","NE",0,0
"DROUGHT","AK",0,0
"DROUGHT","AL",0,0
"DROUGHT","AR",0,0
"DROUGHT","AS",0,0
"DROUGHT","AZ",0,0
"DROUGHT","CA",0,0
"DROUGHT","CO",0,0
"DROUGHT","CT",0,0
"DROUGHT","DC",0,0
"DROUGHT","DE",0,0
"DROUGHT","FL",0,0
"DROUGHT","GA",0,0
"DROUGHT","GU",0,0
"DROUGHT","HI",0,0
"DROUGHT","IA",0,0
"DROUGHT","ID",0,0
"DROUGHT","IL",0,0
"DROUGHT","IN",0,0
"DROUGHT","KS",0,0
"DROUGHT","KY",0,0
"DROUGHT","LA",0,0
"DROUGHT","MA",0,0
"DROUGHT","MD",0,0
"DROUGHT","ME",0,0
"DROUGHT","MI",0,0
"DROUGHT","MN",0,0
"DROUGHT","MO",0,0
"DROUGHT","MS",0,0
"DROUGHT","MT",0,0
"DROUGHT","NC",0,0
"DROUGHT","ND",0,0
"DROUGHT","NE",0,0
"DROUGHT","NH",0,0
"DROUGHT","NJ",0,0
"DROUGHT","NM",0,0
"DROUGHT","NY",0,0
"DROUGHT","OH",0,0
"DROUGHT","OK",0,4
"DROUGHT","OR",0,0
"DROUGHT","PA",0,0
"DROUGHT","PR",0,0
"DROUGHT","SC",0,0
"DROUGHT","SD",0,0
"DROUGHT","TN",0,0
"DROUGHT","TX",0,0
"DROUGHT","UT",0,0
"DROUGHT","VA",0,0
"DROUGHT","VI",0,0
"DROUGHT","VT",0,0
"DROUGHT","WA",0,0
"DROUGHT","WI",0,0
"DROUGHT","WV",0,0
"DROUGHT/EXCESSIVE HEAT","MD",0,0
"DRY","CA",0,0
"DRY","DC",0,0
"DRY","GA",0,0
"DRY","WI",0,0
"DRY CONDITIONS","ME",0,0
"DRY CONDITIONS","NH",0,0
"DRY HOT WEATHER","SC",0,0
"DRY MICROBURST","AZ",0,1
"DRY MICROBURST","CA",0,1
"DRY MICROBURST","ID",0,0
"DRY MICROBURST","KS",0,0
"DRY MICROBURST","MT",0,0
"DRY MICROBURST","NE",0,0
"DRY MICROBURST","NM",0,0
"DRY MICROBURST","NV",0,0
"DRY MICROBURST","OR",0,0
"DRY MICROBURST","TX",0,1
"DRY MICROBURST","VA",0,0
"DRY MICROBURST","WA",0,0
"DRY MICROBURST","WI",0,2
"DRY MICROBURST","WY",0,11
"DRY MICROBURST 50","CO",0,0
"DRY MICROBURST 53","CO",0,0
"DRY MICROBURST 58","CO",0,0
"DRY MICROBURST 61","CA",0,0
"DRY MICROBURST 84","CO",0,0
"DRY MICROBURST WINDS","CO",0,0
"DRY MIRCOBURST WINDS","CO",0,1
"DRY PATTERN","WV",0,0
"DRY SPELL","NY",0,0
"DRY SPELL","PR",0,0
"DRY WEATHER","GA",0,0
"DRY WEATHER","NC",0,0
"DRY WEATHER","SC",0,0
"DRYNESS","NH",0,0
"DUST DEVEL","MI",0,0
"Dust Devil","CA",0,1
"Dust Devil","FL",0,0
"Dust Devil","NC",0,0
"Dust Devil","NH",0,0
"Dust Devil","NY",0,0
"Dust Devil","OR",0,0
"Dust Devil","WI",0,0
"DUST DEVIL","AK",0,0
"DUST DEVIL","AL",0,0
"DUST DEVIL","AZ",0,8
"DUST DEVIL","CA",0,14
"DUST DEVIL","CO",0,0
"DUST DEVIL","FL",0,0
"DUST DEVIL","GA",0,0
"DUST DEVIL","HI",0,0
"DUST DEVIL","IA",0,5
"DUST DEVIL","IN",0,0
"DUST DEVIL","KS",0,0
"DUST DEVIL","LA",0,0
"DUST DEVIL","MA",0,0
"DUST DEVIL","MD",0,1
"DUST DEVIL","MI",0,0
"DUST DEVIL","MO",0,0
"DUST DEVIL","MT",0,3
"DUST DEVIL","NC",0,0
"DUST DEVIL","ND",0,1
"DUST DEVIL","NJ",0,0
"DUST DEVIL","NM",0,1
"DUST DEVIL","NV",0,0
"DUST DEVIL","NY",0,6
"DUST DEVIL","OH",0,0
"DUST DEVIL","OK",0,0
"DUST DEVIL","OR",0,0
"DUST DEVIL","PA",0,1
"DUST DEVIL","SC",0,0
"DUST DEVIL","SD",0,0
"DUST DEVIL","TN",0,2
"DUST DEVIL","TX",0,0
"DUST DEVIL","VA",0,0
"DUST DEVIL","WA",0,0
"DUST DEVIL","WI",0,0
"DUST DEVIL","WV",0,0
"DUST DEVIL WATERSPOUT","MI",0,0
"DUST STORM","AR",0,0
"DUST STORM","CO",0,19
"DUST STORM","DE",0,0
"DUST STORM","ID",0,11
"DUST STORM","IL",0,0
"DUST STORM","IN",0,1
"DUST STORM","KS",0,0
"DUST STORM","NM",0,8
"DUST STORM","NV",0,49
"DUST STORM","OK",0,0
"DUST STORM","OR",0,8
"DUST STORM","PR",0,0
"DUST STORM","TX",0,2
"DUST STORM","UT",0,0
"DUST STORM","VI",0,0
"DUST STORM/HIGH WINDS","MT",0,0
"DUSTSTORM","WA",0,0
"EARLY FREEZE","SD",0,0
"Early Frost","IA",0,0
"EARLY FROST","SD",0,0
"EARLY RAIN","CA",0,0
"EARLY SNOW","IL",0,0
"EARLY SNOW","KY",0,0
"EARLY SNOW","MO",0,0
"Early snowfall","WA",0,0
"EARLY SNOWFALL","ME",0,0
"EARLY SNOWFALL","MN",0,0
"EARLY SNOWFALL","NH",0,0
"Erosion/Cstl Flood","DE",0,0
"Erosion/Cstl Flood","NJ",0,0
"EXCESSIVE","VA",0,0
"Excessive Cold","LA",0,0
"Excessive Cold","MS",0,0
"EXCESSIVE HEAT","CO",0,0
"EXCESSIVE HEAT","HI",0,0
"EXCESSIVE HEAT","ID",0,0
"EXCESSIVE HEAT","MA",0,0
"EXCESSIVE HEAT","MT",0,0
"EXCESSIVE HEAT","ND",0,0
"EXCESSIVE HEAT","NH",0,0
"EXCESSIVE HEAT","NM",0,0
"EXCESSIVE HEAT","RI",0,0
"EXCESSIVE HEAT","VT",0,0
"EXCESSIVE HEAT","WV",0,3
"EXCESSIVE HEAT/DROUGHT","TX",0,0
"EXCESSIVE PRECIPITATION","WV",0,0
"EXCESSIVE RAIN","NJ",0,0
"EXCESSIVE RAIN","PA",0,0
"EXCESSIVE RAIN","TX",0,0
"EXCESSIVE RAINFALL","KS",0,0
"EXCESSIVE SNOW","NY",0,2
"EXCESSIVE WETNESS","IA",0,0
"EXCESSIVELY DRY","CA",0,0
